countrycode,countryname,region,regionname,year,oos_prim,population_0509
ABW,Aruba,LCN,Latin America and Caribbean,2000,1,7313
AFG,Afghanistan,SAS,South Asia,2000,,3292349
AGO,Angola,SSF,Sub-Saharan Africa,2000,,2514939
ALB,Albania,ECS,Europe and Central Asia,2000,4.6166501,324852
AND,Andorra,ECS,Europe and Central Asia,2000,,
ARE,United Arab Emirates,MEA,Middle East and North Africa,2000,,285637
ARG,Argentina,LCN,Latin America and Caribbean,2000,.43164,3558541
ARM,Armenia,ECS,Europe and Central Asia,2000,,272821
ASM,American Samoa,EAS,East Asia and Pacific,2000,,
ATG,Antigua and Barbuda,LCN,Latin America and Caribbean,2000,,7461
AUS,Australia,EAS,East Asia and Pacific,2000,5.5146899,1366806
AUT,Austria,ECS,Europe and Central Asia,2000,.27054,471425
AZE,Azerbaijan,ECS,Europe and Central Asia,2000,8.49331,880723
BDI,Burundi,SSF,Sub-Saharan Africa,2000,58.558418,1071660
BEL,Belgium,ECS,Europe and Central Asia,2000,0,616074
BEN,Benin,SSF,Sub-Saharan Africa,2000,,1020027
BFA,Burkina Faso,SSF,Sub-Saharan Africa,2000,63.2537,1755535
BGD,Bangladesh,SAS,South Asia,2000,,15702480
BGR,Bulgaria,ECS,Europe and Central Asia,2000,2.36834,421635
BHR,Bahrain,MEA,Middle East and North Africa,2000,1.87897,69630
BHS,"Bahamas, The",LCN,Latin America and Caribbean,2000,,30557
BIH,Bosnia and Herzegovina,ECS,Europe and Central Asia,2000,,256059
BLR,Belarus,ECS,Europe and Central Asia,2000,,596087
BLZ,Belize,LCN,Latin America and Caribbean,2000,3.4032099,34020
BMU,Bermuda,NAC,North America,2000,,
BOL,Bolivia,LCN,Latin America and Caribbean,2000,.13594,1057207
BRA,Brazil,LCN,Latin America and Caribbean,2000,,17289344
BRB,Barbados,LCN,Latin America and Caribbean,2000,2.2906699,20337
BRN,Brunei Darussalam,EAS,East Asia and Pacific,2000,,34876
BTN,Bhutan,SAS,South Asia,2000,42.358749,80515
BWA,Botswana,SSF,Sub-Saharan Africa,2000,13.91239,212770
CAF,Central African Republic,SSF,Sub-Saharan Africa,2000,,509874
CAN,Canada,NAC,North America,2000,.079489999,2034332
CHE,Switzerland,ECS,Europe and Central Asia,2000,.33687001,429055
CHI,Channel Islands,ECS,Europe and Central Asia,2000,,8537
CHL,Chile,LCN,Latin America and Caribbean,2000,,1457078
CHN,China,EAS,East Asia and Pacific,2000,,97644968
CIV,Cote d'Ivoire,SSF,Sub-Saharan Africa,2000,43.491611,2348767
CMR,Cameroon,SSF,Sub-Saharan Africa,2000,,2300097
COD,"Congo, Dem Rep",SSF,Sub-Saharan Africa,2000,,6968300
COG,"Congo, Rep",SSF,Sub-Saharan Africa,2000,,429420
COL,Colombia,LCN,Latin America and Caribbean,2000,.79111999,4415443
COM,Comoros,SSF,Sub-Saharan Africa,2000,32.505268,78760
CPV,Cabo Verde,SSF,Sub-Saharan Africa,2000,.43770999,64321
CRI,Costa Rica,LCN,Latin America and Caribbean,2000,,416859
CUB,Cuba,LCN,Latin America and Caribbean,2000,.43713,773644
CUW,Curacao,LCN,Latin America and Caribbean,2000,,11946
CYM,Cayman Islands,LCN,Latin America and Caribbean,2000,3.9521,
CYP,Cyprus,ECS,Europe and Central Asia,2000,1.93003,72774
CZE,Czech Republic,ECS,Europe and Central Asia,2000,,592138
DEU,Germany,ECS,Europe and Central Asia,2000,.08326,4204845
DJI,Djibouti,MEA,Middle East and North Africa,2000,72.964371,96459
DMA,Dominica,LCN,Latin America and Caribbean,2000,1.6549,
DNK,Denmark,ECS,Europe and Central Asia,2000,.070479997,344438
DOM,Dominican Republic,LCN,Latin America and Caribbean,2000,12.23975,1004212
DZA,Algeria,MEA,Middle East and North Africa,2000,9.2522602,3687881
ECU,Ecuador,LCN,Latin America and Caribbean,2000,2.93101,1476555
EGY,"Egypt, Arab Rep",MEA,Middle East and North Africa,2000,11.10721,8301948
ERI,Eritrea,SSF,Sub-Saharan Africa,2000,46.604309,355065
ESP,Spain,ECS,Europe and Central Asia,2000,.16408999,1951338
EST,Estonia,ECS,Europe and Central Asia,2000,1.0188299,79882
ETH,Ethiopia,SSF,Sub-Saharan Africa,2000,59.729279,9999620
FIN,Finland,ECS,Europe and Central Asia,2000,.26457,327606
FJI,Fiji,EAS,East Asia and Pacific,2000,5.1249099,96355
FRA,France,ECS,Europe and Central Asia,2000,3.5487101,3750650
FRO,Faroe Islands,ECS,Europe and Central Asia,2000,,
FSM,"Micronesia, Fed Sts",EAS,East Asia and Pacific,2000,,14144
GAB,Gabon,SSF,Sub-Saharan Africa,2000,,169083
GBR,United Kingdom,ECS,Europe and Central Asia,2000,.03909,3807594
GEO,Georgia,ECS,Europe and Central Asia,2000,,273803
GHA,Ghana,SSF,Sub-Saharan Africa,2000,32.076199,2700858
GIB,Gibraltar,ECS,Europe and Central Asia,2000,,
GIN,Guinea,SSF,Sub-Saharan Africa,2000,54.24118,1257733
GMB,"Gambia, The",SSF,Sub-Saharan Africa,2000,35.477699,208003
GNB,Guinea-Bissau,SSF,Sub-Saharan Africa,2000,50.679611,180055
GNQ,Equatorial Guinea,SSF,Sub-Saharan Africa,2000,34.526852,78583
GRC,Greece,ECS,Europe and Central Asia,2000,.88164997,531627
GRD,Grenada,LCN,Latin America and Caribbean,2000,,11162
GRL,Greenland,ECS,Europe and Central Asia,2000,,
GTM,Guatemala,LCN,Latin America and Caribbean,2000,14.31736,1706784
GUM,Guam,EAS,East Asia and Pacific,2000,,16128
GUY,Guyana,LCN,Latin America and Caribbean,2000,,94868
HKG,"Hong Kong SAR, China",EAS,East Asia and Pacific,2000,,402219
HND,Honduras,LCN,Latin America and Caribbean,2000,14.25094,931957
HRV,Croatia,ECS,Europe and Central Asia,2000,6.0932899,242906
HTI,Haiti,LCN,Latin America and Caribbean,2000,,1128300
HUN,Hungary,ECS,Europe and Central Asia,2000,3.1619,595394
IDN,Indonesia,EAS,East Asia and Pacific,2000,,21697446
IMN,Isle of Man,ECS,Europe and Central Asia,2000,,
IND,India,SAS,South Asia,2000,16.14501,121810248
IRL,Ireland,ECS,Europe and Central Asia,2000,.040830001,258418
IRN,"Iran, Islamic Rep",MEA,Middle East and North Africa,2000,13.83266,7277280
IRQ,Iraq,MEA,Middle East and North Africa,2000,11.10287,3314641
ISL,Iceland,ECS,Europe and Central Asia,2000,1.06525,23047
ISR,Israel,MEA,Middle East and North Africa,2000,.44995001,572400
ITA,Italy,ECS,Europe and Central Asia,2000,.095279999,2713996
JAM,Jamaica,LCN,Latin America and Caribbean,2000,7.1511002,288083
JOR,Jordan,MEA,Middle East and North Africa,2000,8.7008495,671573
JPN,Japan,EAS,East Asia and Pacific,2000,,6098320
KAZ,Kazakhstan,ECS,Europe and Central Asia,2000,5.3420901,1398060
KEN,Kenya,SSF,Sub-Saharan Africa,2000,35.6931,4599634
KGZ,Kyrgyz Republic,ECS,Europe and Central Asia,2000,6.3975801,582614
KHM,Cambodia,EAS,East Asia and Pacific,2000,6.8344498,1741836
KIR,Kiribati,EAS,East Asia and Pacific,2000,,11262
KNA,St Kitts and Nevis,LCN,Latin America and Caribbean,2000,,
KOR,"Korea, Rep",EAS,East Asia and Pacific,2000,.77047998,3459429
KWT,Kuwait,MEA,Middle East and North Africa,2000,8.58253,187092
LAO,Lao PDR,EAS,East Asia and Pacific,2000,24.14093,805124
LBN,Lebanon,MEA,Middle East and North Africa,2000,,411845
LBR,Liberia,SSF,Sub-Saharan Africa,2000,,386044
LBY,Libya,MEA,Middle East and North Africa,2000,,600783
LCA,St Lucia,LCN,Latin America and Caribbean,2000,8.3660002,17306
LIE,Liechtenstein,ECS,Europe and Central Asia,2000,,
LKA,Sri Lanka,SAS,South Asia,2000,,1651605
LSO,Lesotho,SSF,Sub-Saharan Africa,2000,25.29899,267472
LTU,Lithuania,ECS,Europe and Central Asia,2000,.11442,241995
LUX,Luxembourg,ECS,Europe and Central Asia,2000,2.2491701,28407
LVA,Latvia,ECS,Europe and Central Asia,2000,,141413
MAC,"Macao SAR, China",EAS,East Asia and Pacific,2000,10.48552,34146
MAF,St Martin (French part),LCN,Latin America and Caribbean,2000,,
MAR,Morocco,MEA,Middle East and North Africa,2000,19.403271,3277582
MCO,Monaco,ECS,Europe and Central Asia,2000,,
MDA,Moldova,ECS,Europe and Central Asia,2000,0,226548
MDG,Madagascar,SSF,Sub-Saharan Africa,2000,33.225639,2339497
MDV,Maldives,SAS,South Asia,2000,2.12025,39516
MEX,Mexico,LCN,Latin America and Caribbean,2000,.01787,11397438
MHL,Marshall Islands,EAS,East Asia and Pacific,2000,,
MKD,North Macedonia,ECS,Europe and Central Asia,2000,2.2980299,157782
MLI,Mali,SSF,Sub-Saharan Africa,2000,,1639897
MLT,Malta,MEA,Middle East and North Africa,2000,,25775
MMR,Myanmar,EAS,East Asia and Pacific,2000,10.27484,4923026
MNE,Montenegro,ECS,Europe and Central Asia,2000,,42969
MNG,Mongolia,EAS,East Asia and Pacific,2000,7.1395102,278444
MNP,Northern Mariana Islands,EAS,East Asia and Pacific,2000,,
MOZ,Mozambique,SSF,Sub-Saharan Africa,2000,42.984821,2552407
MRT,Mauritania,SSF,Sub-Saharan Africa,2000,39.926441,374780
MUS,Mauritius,SSF,Sub-Saharan Africa,2000,.22548001,109097
MWI,Malawi,SSF,Sub-Saharan Africa,2000,,1677828
MYS,Malaysia,EAS,East Asia and Pacific,2000,1.58512,2589599
NAM,Namibia,SSF,Sub-Saharan Africa,2000,10.67742,255289
NCL,New Caledonia,EAS,East Asia and Pacific,2000,,21909
NER,Niger,SSF,Sub-Saharan Africa,2000,73.104568,1727695
NGA,Nigeria,SSF,Sub-Saharan Africa,2000,33.820141,17209340
NIC,Nicaragua,LCN,Latin America and Caribbean,2000,14.84628,683196
NLD,Netherlands,ECS,Europe and Central Asia,2000,,996812
NOR,Norway,ECS,Europe and Central Asia,2000,.13548,308134
NPL,Nepal,SAS,South Asia,2000,27.88954,3300813
NRU,Nauru,EAS,East Asia and Pacific,2000,,
NZL,New Zealand,EAS,East Asia and Pacific,2000,,301548
OMN,Oman,MEA,Middle East and North Africa,2000,16.02997,287479
PAK,Pakistan,SAS,South Asia,2000,,20065944
PAN,Panama,LCN,Latin America and Caribbean,2000,4.6963801,319530
PER,Peru,LCN,Latin America and Caribbean,2000,.85540998,3087650
PHL,Philippines,EAS,East Asia and Pacific,2000,,9966997
PLW,Palau,EAS,East Asia and Pacific,2000,,
PNG,Papua New Guinea,EAS,East Asia and Pacific,2000,,759680
POL,Poland,ECS,Europe and Central Asia,2000,3.03548,2535779
PRI,Puerto Rico,LCN,Latin America and Caribbean,2000,,305588
PRK,"Korea, Dem People’s Rep",EAS,East Asia and Pacific,2000,,2040192
PRT,Portugal,ECS,Europe and Central Asia,2000,2.4635999,533779
PRY,Paraguay,LCN,Latin America and Caribbean,2000,.89367998,686405
PSE,West Bank and Gaza,MEA,Middle East and North Africa,2000,8.32096,482521
PYF,French Polynesia,EAS,East Asia and Pacific,2000,,25356
QAT,Qatar,MEA,Middle East and North Africa,2000,3.73803,51166
ROU,Romania,ECS,Europe and Central Asia,2000,9.4256897,1260278
RUS,Russian Federation,ECS,Europe and Central Asia,2000,,8191777
RWA,Rwanda,SSF,Sub-Saharan Africa,2000,,1130394
SAU,Saudi Arabia,MEA,Middle East and North Africa,2000,,2740134
SDN,Sudan,SSF,Sub-Saharan Africa,2000,,3954682
SEN,Senegal,SSF,Sub-Saharan Africa,2000,41.158611,1436132
SGP,Singapore,EAS,East Asia and Pacific,2000,,269452
SLB,Solomon Islands,EAS,East Asia and Pacific,2000,,57522
SLE,Sierra Leone,SSF,Sub-Saharan Africa,2000,,662542
SLV,El Salvador,LCN,Latin America and Caribbean,2000,7.4008002,746120
SMR,San Marino,ECS,Europe and Central Asia,2000,14.94174,
SOM,Somalia,SSF,Sub-Saharan Africa,2000,,1346999
SRB,Serbia,ECS,Europe and Central Asia,2000,,515801
SSD,South Sudan,SSF,Sub-Saharan Africa,2000,,910976
STP,Sao Tome and Principe,SSF,Sub-Saharan Africa,2000,,20313
SUR,Suriname,LCN,Latin America and Caribbean,2000,,51775
SVK,Slovak Republic,ECS,Europe and Central Asia,2000,,362294
SVN,Slovenia,ECS,Europe and Central Asia,2000,4.3152299,100523
SWE,Sweden,ECS,Europe and Central Asia,2000,.36210001,596743
SWZ,Eswatini,SSF,Sub-Saharan Africa,2000,,146036
SXM,Sint Maarten (Dutch part),LCN,Latin America and Caribbean,2000,,
SYC,Seychelles,SSF,Sub-Saharan Africa,2000,1.6336,7848
SYR,Syrian Arab Republic,MEA,Middle East and North Africa,2000,3.13923,2173559
TCA,Turks and Caicos Islands,LCN,Latin America and Caribbean,2000,10.89015,
TCD,Chad,SSF,Sub-Saharan Africa,2000,48.63208,1325880
TGO,Togo,SSF,Sub-Saharan Africa,2000,12.63967,685787
THA,Thailand,EAS,East Asia and Pacific,2000,,5102043
TJK,Tajikistan,ECS,Europe and Central Asia,2000,3.3804801,884757
TKM,Turkmenistan,ECS,Europe and Central Asia,2000,,581437
TLS,Timor-Leste,EAS,East Asia and Pacific,2000,,136181
TON,Tonga,EAS,East Asia and Pacific,2000,,13117
TTO,Trinidad and Tobago,LCN,Latin America and Caribbean,2000,.62871999,104569
TUN,Tunisia,MEA,Middle East and North Africa,2000,4.7652202,952629
TUR,Turkey,ECS,Europe and Central Asia,2000,4.1447001,6345060
TUV,Tuvalu,EAS,East Asia and Pacific,2000,,
TZA,Tanzania,SSF,Sub-Saharan Africa,2000,46.43483,4962356
UGA,Uganda,SSF,Sub-Saharan Africa,2000,,3855952
UKR,Ukraine,ECS,Europe and Central Asia,2000,,2761832
URY,Uruguay,LCN,Latin America and Caribbean,2000,,278590
USA,United States,NAC,North America,2000,,20881424
UZB,Uzbekistan,ECS,Europe and Central Asia,2000,,3224253
VCT,St Vincent and the Grenadines,LCN,Latin America and Caribbean,2000,1.8123699,11469
VEN,"Venezuela, RB",LCN,Latin America and Caribbean,2000,8.25179,2742418
VGB,British Virgin Islands,LCN,Latin America and Caribbean,2000,16.22893,
VIR,Virgin Islands (US),LCN,Latin America and Caribbean,2000,,10002
VNM,Vietnam,EAS,East Asia and Pacific,2000,1.58763,9056782
VUT,Vanuatu,EAS,East Asia and Pacific,2000,.67475998,25540
WSM,Samoa,EAS,East Asia and Pacific,2000,2.4341099,24513
XKX,Kosovo,ECS,Europe and Central Asia,2000,,
YEM,"Yemen, Rep",MEA,Middle East and North Africa,2000,,2953177
ZAF,South Africa,SSF,Sub-Saharan Africa,2000,9.8639097,5047964
ZMB,Zambia,SSF,Sub-Saharan Africa,2000,33.057449,1563726
ZWE,Zimbabwe,SSF,Sub-Saharan Africa,2000,10.49661,1642994
